,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
595,gpt-3.5-turbo,Amplified Bible,270,38,"be gathered into one place [of standing, pooling together], and let the dry land appear”; and it was so. 
10God called the dry land earth, and the gathering of","['be', 'gathered', 'into', 'one', 'place', '[', 'of', 'standing', ',', 'pooling', 'together', ']', ',', 'and', 'let', 'the']","['waters', 'under', 'the', 'heavens', 'be', 'gathered', 'together', 'into', 'one', 'place', '[', 'of', 'standing', ',', 'pooling', 'together', ']', ',', 'and', 'let', 'the', 'dry']","['dry', 'land', 'appear', '”', ';', 'and', 'it', 'was', 'so', '.', '\n', '10God', 'called', 'the', 'dry', 'land', 'earth', ',', 'and', 'the', 'gathering', 'of']",0.9090909090909092,269,306
425,gpt-3.5-turbo,New Living Translation Bible,272,28,"-bearing fruit. These seeds will then produce the kinds of plants and trees from which they came.” And that is what happened.
","['-', 'bearing', 'fruit', '.', 'These', 'seeds', 'will', 'then', 'produce']","['new', 'trees', ',', 'and', 'the', 'cycle', 'of', 'life', 'continues', '.', '""']","['the', 'kinds', 'of', 'plants', 'and', 'trees', 'from', 'which', 'they', 'came', '.']",0.9090909090909092,271,290
537,gpt-3.5-turbo,New Living Translation Bible,272,22,-bearing fruit. These seeds will then produce the kinds of plants and trees from which they came.” And,"['-', 'bearing', 'fruit', '.', 'These', 'seeds', 'will', 'then', 'produce']","['new', 'trees', ',', 'and', 'the', 'cycle', 'of', 'life', 'continues', '.', '""']","['the', 'kinds', 'of', 'plants', 'and', 'trees', 'from', 'which', 'they', 'came', '.']",0.9090909090909092,271,290
551,gpt-3.5-turbo,New Living Translation Bible,273,40,"bearing fruit. These seeds will then produce the kinds of plants and trees from which they came.” And that is what happened.
12 The land produced vegetation—all sorts of seed-bearing plants","['bearing', 'fruit', '.', 'These', 'seeds', 'will', 'then', 'produce', 'the', 'kinds', 'of', 'plants', 'and', 'trees', 'from', 'which', 'they']","['will', 'bear', 'fruit', 'of', 'their', 'own', 'kind', '.']","['came', '.', '”', 'And', 'that', 'is', 'what', 'happened']",1.0,272,296
674,gpt-3.5-turbo,Amplified Bible,274,24,"place [of standing, pooling together], and let the dry land appear”; and it was so. 
10God","['place', '[', 'of', 'standing', ',', 'pooling', 'together', ']', ',', 'and']","['place', '[', 'of', 'standing', ',', 'pooling', 'together', ']', ',', 'and', 'there', 'is', 'no', 'other']","['let', 'the', 'dry', 'land', 'appear', '”', ';', 'and', 'it', 'was', 'so', '.', '\n', '10God']",1.0,273,296
943,gpt-3.5-turbo,King James Bible,274,26,", upon the earth: and it was so.
12And the earth brought forth grass, and herb yielding seed after his kind,","[',', 'upon', 'the', 'earth', ':', 'and']","['behold', ',', 'it', 'was', 'very', 'good', '.']","['it', 'was', 'so', '.', '\n', '12And', 'the']",1.0,273,285
150,gpt-3.5-turbo,Christian Standard Bible ,275,28,"with seed in it according to their kinds.” And it was so. 
12 The earth produced vegetation: seed-bearing plants according to","['with', 'seed', 'in', 'it', 'according', 'to', 'their', 'kinds', '.', '”', 'And', 'it', 'was']","['so', '.']","['so', '.']",0.0,274,288
497,gpt-3.5-turbo,New Living Translation Bible,275,27,". These seeds will then produce the kinds of plants and trees from which they came.” And that is what happened.
12 The","['.', 'These', 'seeds', 'will', 'then', 'produce', 'the', 'kinds']","['of', 'plants', 'and', 'trees', 'from', 'which', 'they', 'came', '.', '""']","['of', 'plants', 'and', 'trees', 'from', 'which', 'they', 'came', '.', '”']",0.1,274,291
835,gpt-3.5-turbo,King James Bible,276,37,"the earth: and it was so.
12And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after","['the', 'earth', ':', 'and', 'it', 'was', 'so', '.', '\n', '12And', 'the', 'earth', 'brought', 'forth', 'grass', ',', 'and']","['herb', 'yielding', 'seed', 'after', 'his', 'kind', ',', 'and', 'the', 'tree', 'yielding', 'fruit', ',', 'whose', 'seed', 'was', 'in', 'itself', ',', 'after']","['herb', 'yielding', 'seed', 'after', 'his', 'kind', ',', 'and', 'the', 'tree', 'yielding', 'fruit', ',', 'whose', 'seed', 'was', 'in', 'itself', ',', 'after']",0.0,275,311
285,gpt-3.5-turbo,English Standard Bible,277,34,"fruit trees bearing fruit in which is their seed, each according to its kind, on the earth.” And it was so. 
12 The earth brought forth vegetation,","['fruit', 'trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their']","['seed', ',', 'each', 'according', 'to', 'its', 'kind', '.']","['seed', ',', 'each', 'according', 'to', 'its', 'kind', ',']",0.125,276,291
57,gpt-3.5-turbo,Christian Standard Bible ,278,24,"it according to their kinds.” And it was so. 
12 The earth produced vegetation: seed-bearing plants according","['it', 'according', 'to', 'their', 'kinds', '.', '”', 'And', 'it']","['was', 'so', '.']","['was', 'so', '.']",0.0,277,288
884,gpt-3.5-turbo,King James Bible,279,25,"and it was so.
12And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding","['and', 'it', 'was', 'so', '.', '\n', '12And', 'the', 'earth']","['brought', 'forth', 'grass', ',', 'and', 'herb', 'yielding', 'seed', 'after', 'his', 'kind', ',', 'and', 'the', 'tree', 'yielding']","['brought', 'forth', 'grass', ',', 'and', 'herb', 'yielding', 'seed', 'after', 'his', 'kind', ',', 'and', 'the', 'tree', 'yielding']",0.0,278,302
530,gpt-3.5-turbo,New Living Translation Bible,281,38,"the kinds of plants and trees from which they came.” And that is what happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-","['the', 'kinds', 'of', 'plants', 'and', 'trees', 'from', 'which', 'they', 'came', '.', '”', 'And']","['God', 'saw', 'that', 'it', 'was', 'good', '.']","['that', 'is', 'what', 'happened', '.', '\n', '12']",1.0,280,299
503,gpt-3.5-turbo,New Living Translation Bible,281,20,"the kinds of plants and trees from which they came.” And that is what happened.
12","['the', 'kinds', 'of', 'plants', 'and', 'trees', 'from', 'which', 'they']","['can', 'eat', '.']","['came', '.', '”']",1.0,280,291
640,gpt-3.5-turbo,Amplified Bible,281,25,"], and let the dry land appear”; and it was so. 
10God called the dry land earth, and the","[']', ',', 'and', 'let', 'the', 'dry', 'land', 'appear', '”', ';', 'and', 'it']","['was', 'so', '.']","['was', 'so', '.']",0.0,280,294
265,gpt-3.5-turbo,English Standard Bible,282,29,"which is their seed, each according to its kind, on the earth.” And it was so. 
12 The earth brought forth vegetation,","['which', 'is', 'their', 'seed', ',', 'each', 'according', 'to']","['their', 'kind', '.']","['its', 'kind', ',']",0.6666666666666666,281,291
871,gpt-3.5-turbo,King James Bible,283,27,".
12And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in","['.', '\n', '12And', 'the', 'earth', 'brought', 'forth', 'grass', ',', 'and', 'herb', 'yielding', 'seed']","['after', 'his', 'kind', ',', 'and', 'the', 'tree', 'yielding', 'fruit', ',', 'whose', 'seed', 'was', 'in']","['after', 'his', 'kind', ',', 'and', 'the', 'tree', 'yielding', 'fruit', ',', 'whose', 'seed', 'was', 'in']",0.0,282,308
129,gpt-3.5-turbo,Christian Standard Bible ,283,32,".” And it was so. 
12 The earth produced vegetation: seed-bearing plants according to their kinds and trees bearing fruit with seed in it according to","['.', '”', 'And', 'it', 'was', 'so', '.', '\n', '12', 'The', 'earth', 'produced', 'vegetation', ':', 'seed']","['plants', 'according', 'to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their', 'kinds']","['-', 'bearing', 'plants', 'according', 'to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to']",0.2352941176470588,282,313
471,gpt-3.5-turbo,New Living Translation Bible,285,40,"and trees from which they came.” And that is what happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced","['and', 'trees', 'from', 'which', 'they', 'came']","['""', 'And', 'God', 'said', ',', ""'"", 'Let', 'the', 'land', 'sprout', 'with', 'vegetation', '—', 'every', 'sort', 'of', 'seed', '-', 'bearing', 'plant', ',', 'and', 'trees', 'that', 'grow', 'seed', '-', 'bearing', 'fruit', '.', 'These', 'seeds', 'will', 'then']","['.', '”', 'And', 'that', 'is', 'what', 'happened', '.', '\n', '12', 'The', 'land', 'produced', 'vegetation', '—', 'all', 'sorts', 'of', 'seed', '-', 'bearing', 'plants', ',', 'and', 'trees', 'with', 'seed', '-', 'bearing', 'fruit', '.', 'Their', 'seeds', 'produced']",0.5882352941176471,284,323
464,gpt-3.5-turbo,New Living Translation Bible,285,20,"and trees from which they came.” And that is what happened.
12 The land produced vegetation","['and', 'trees', 'from', 'which', 'they', 'came', '.', '”', 'And', 'that']","['is', 'the', 'beauty', 'of', 'creation', ',', 'each', 'part', 'connected', 'to']","['is', 'what', 'happened', '.', '\n', '12', 'The', 'land', 'produced', 'vegetation']",0.9,284,303
110,gpt-3.5-turbo,Christian Standard Bible ,285,37,"And it was so. 
12 The earth produced vegetation: seed-bearing plants according to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that","['And', 'it', 'was', 'so', '.', '\n', '12', 'The', 'earth', 'produced', 'vegetation']","['of', 'every', 'kind', ':', '\n', 'seed', '-', 'bearing', 'plants', '\n', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', '\n', 'of', 'every', 'kind', '.']","[':', 'seed', '-', 'bearing', 'plants', 'according', 'to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their', 'kinds', '.', 'And']",0.5652173913043478,284,317
645,gpt-3.5-turbo,Amplified Bible,287,27,"land appear”; and it was so. 
10God called the dry land earth, and the gathering of the waters He called seas;","['land', 'appear', '”', ';', 'and', 'it', 'was']","['so', '.']","['so', '.']",0.0,286,294
341,gpt-3.5-turbo,English Standard Bible,287,27,"each according to its kind, on the earth.” And it was so. 
12 The earth brought forth vegetation, plants yielding seed","['each', 'according', 'to', 'its', 'kind', ',']","['and', 'God', 'saw', 'that', 'it', 'was', 'good', '.']","['on', 'the', 'earth', '.', '”', 'And', 'it', 'was']",1.0,286,299
850,gpt-3.5-turbo,King James Bible,288,36,"brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.","['brought', 'forth', 'grass', ',', 'and']","['herb', 'yielding', 'seed', 'after', 'his', 'kind', ',', 'and', 'the', 'tree', 'yielding', 'fruit', ',', 'whose', 'seed', 'was', 'in', 'itself', ',', 'after', 'his', 'kind', ':', 'and', 'God', 'saw', 'that', 'it', 'was', 'good', '.']","['herb', 'yielding', 'seed', 'after', 'his', 'kind', ',', 'and', 'the', 'tree', 'yielding', 'fruit', ',', 'whose', 'seed', 'was', 'in', 'itself', ',', 'after', 'his', 'kind', ':', 'and', 'God', 'saw', 'that', 'it', 'was', 'good', '.']",0.0,287,322
400,gpt-3.5-turbo,New Living Translation Bible,288,33,"which they came.” And that is what happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-bearing fruit","['which', 'they', 'came', '.', '”', 'And', 'that', 'is', 'what', 'happened', '.', '\n', '12', 'The']","['Lord', 'blessed', 'the', 'latter', 'part', 'of', 'Job', ""'s"", 'life', 'more', 'than', 'the', 'former', 'part', '.']","['land', 'produced', 'vegetation', '—', 'all', 'sorts', 'of', 'seed', '-', 'bearing', 'plants', ',', 'and', 'trees', 'with']",1.0,287,315
629,gpt-3.5-turbo,Amplified Bible,290,27,"; and it was so. 
10God called the dry land earth, and the gathering of the waters He called seas; and God saw","[';', 'and', 'it', 'was', 'so', '.', '\n']","['""', 'And', 'God', 'said', ',', ""'"", 'Let', 'there', 'be', 'light', ',', ""'"", 'and', 'there', 'was', 'light', '.', '""']","['10God', 'called', 'the', 'dry', 'land', 'earth', ',', 'and', 'the', 'gathering', 'of', 'the', 'waters', 'He', 'called', 'seas', ';', 'and']",1.0,289,313
124,gpt-3.5-turbo,Christian Standard Bible ,291,27,12 The earth produced vegetation: seed-bearing plants according to their kinds and trees bearing fruit with seed in it according to their kinds.,"['12', 'The', 'earth', 'produced', 'vegetation', ':']","['plants', 'bearing', 'seed', 'according', 'to', 'their', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their', 'kinds', '.']","['seed', '-', 'bearing', 'plants', 'according', 'to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their', 'kinds', '.']",0.1904761904761904,290,316
332,gpt-3.5-turbo,English Standard Bible,294,36,"the earth.” And it was so. 
12 The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed,","['the', 'earth', '.', '”', 'And', 'it', 'was', 'so', '.', '\n', '12', 'The', 'earth', 'brought', 'forth', 'vegetation', ',', 'plants']","['bearing', 'seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to']","['yielding', 'seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their', 'seed', ',']",0.3888888888888889,293,328
516,gpt-3.5-turbo,New Living Translation Bible,294,31,"that is what happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced","['that', 'is', 'what', 'happened', '.', '\n']","['""', 'And', 'we', 'know', 'that', 'God', 'causes', 'everything', 'to', 'work', 'together', 'for', 'the', 'good', 'of', 'those', 'who', 'love', 'God', 'and', 'are', 'called', 'according', 'to', 'his']","['12', 'The', 'land', 'produced', 'vegetation', '—', 'all', 'sorts', 'of', 'seed', '-', 'bearing', 'plants', ',', 'and', 'trees', 'with', 'seed', '-', 'bearing', 'fruit', '.', 'Their', 'seeds', 'produced']",1.0,293,323
76,gpt-3.5-turbo,Christian Standard Bible ,294,20,produced vegetation: seed-bearing plants according to their kinds and trees bearing fruit with seed in it according,"['produced', 'vegetation', ':', 'seed', '-', 'bearing', 'plants', 'according']","['to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according']","['to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according']",0.0,293,312
539,gpt-3.5-turbo,New Living Translation Bible,295,36,"is what happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced plants and trees of the same","['is', 'what', 'happened', '.', '\n', '12', 'The', 'land', 'produced', 'vegetation', '—', 'all', 'sorts', 'of', 'seed', '-', 'bearing', 'plants']","['and', 'trees', 'with', 'seed', '-', 'bearing', 'fruit', '.', 'And', 'God', 'saw', 'that', 'it', 'was', 'good', '.']","[',', 'and', 'trees', 'with', 'seed', '-', 'bearing', 'fruit', '.', 'Their', 'seeds', 'produced', 'plants', 'and', 'trees', 'of']",0.5625,294,327
978,gpt-3.5-turbo,King James Bible,295,20,"seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind","['seed', 'after', 'his', 'kind', ',', 'and', 'the', 'tree']","['yielding', 'fruit', ',', 'whose', 'seed', 'was', 'in', 'itself', ',', 'after', 'his', 'kind']","['yielding', 'fruit', ',', 'whose', 'seed', 'was', 'in', 'itself', ',', 'after', 'his', 'kind']",0.0,294,313
486,gpt-3.5-turbo,New Living Translation Bible,297,25,"happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-bearing fruit.","['happened', '.', '\n', '12', 'The', 'land']","['of', 'a', 'rich', 'man', 'produced', 'abundant', 'harvests', '.']","['produced', 'vegetation', '—', 'all', 'sorts', 'of', 'seed', '-']",1.0,296,309
495,gpt-3.5-turbo,New Living Translation Bible,297,20,"happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with","['happened', '.', '\n', '12', 'The', 'land', 'produced']","['abundantly', ',', 'and', 'the', 'Lord', 'blessed', 'the', 'crops', '.']","['vegetation', '—', 'all', 'sorts', 'of', 'seed', '-', 'bearing', 'plants']",1.0,296,311
42,gpt-3.5-turbo,Christian Standard Bible ,298,31,"-bearing plants according to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that it was good. 
13 Evening","['-', 'bearing', 'plants', 'according', 'to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in']","['it', 'according', 'to', 'their', 'kinds', '.']","['it', 'according', 'to', 'their', 'kinds', '.']",0.0,297,316
533,gpt-3.5-turbo,New Living Translation Bible,298,31,".
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced plants and trees of","['.', '\n', '12', 'The', 'land', 'produced', 'vegetation', '—']","['""', 'plants', 'bearing', 'seed', 'according', 'to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their', 'kinds', '.', 'And', 'God']","['all', 'sorts', 'of', 'seed', '-', 'bearing', 'plants', ',', 'and', 'trees', 'with', 'seed', '-', 'bearing', 'fruit', '.', 'Their', 'seeds', 'produced', 'plants', 'and', 'trees', 'of']",0.8695652173913043,297,327
158,gpt-3.5-turbo,Christian Standard Bible ,299,37,"bearing plants according to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that it was good. 
13 Evening came and then morning: the third","['bearing', 'plants', 'according', 'to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it']","['""', 'God', 'created', 'the', 'great', 'sea', 'creatures', 'and', 'every', 'living', 'creature', 'that', 'moves', ',', 'with', 'which', 'the', 'water', 'swarmed', ',', 'according', 'to', 'their']","['according', 'to', 'their', 'kinds', '.', 'And', 'God', 'saw', 'that', 'it', 'was', 'good', '.', '\n', '13', 'Evening', 'came', 'and', 'then', 'morning', ':', 'the', 'third']",1.0,298,334
39,gpt-3.5-turbo,Christian Standard Bible ,302,39,"to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that it was good. 
13 Evening came and then morning: the third day.
14 Then","['to', 'their', 'kinds', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according']","['to', 'their', 'kinds', '.']","['to', 'their', 'kinds', '.']",0.0,301,316
240,gpt-3.5-turbo,English Standard Bible,302,26,". 
12 The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their","['.', '\n', '12', 'The', 'earth', 'brought', 'forth', 'vegetation']","['of', 'every', 'kind', ',', 'plants', 'yielding', 'seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in']","[',', 'plants', 'yielding', 'seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their']",0.3333333333333333,301,326
219,gpt-3.5-turbo,English Standard Bible,305,34,"The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw","['The', 'earth', 'brought', 'forth', 'vegetation', ',', 'plants', 'yielding', 'seed']","['according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their', 'own', 'kinds', '.', 'And', 'God', 'saw', 'that', 'it']","['according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their', 'seed', ',', 'each', 'according', 'to', 'its', 'kind', '.', 'And', 'God', 'saw']",0.44,304,337
166,gpt-3.5-turbo,Christian Standard Bible ,305,22,"and trees bearing fruit with seed in it according to their kinds. And God saw that it was good. 
","['and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their']","['kind', 'on', 'the', 'earth', '.']","['kinds', '.', 'And', 'God', 'saw']",1.0,304,319
261,gpt-3.5-turbo,English Standard Bible,305,28,"The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to","['The', 'earth', 'brought', 'forth', 'vegetation', ',', 'plants', 'yielding']","['seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their', 'own', 'kinds']","['seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their', 'seed', ',', 'each', 'according', 'to']",0.45,304,331
546,gpt-3.5-turbo,New Living Translation Bible,307,32,"sorts of seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced plants and trees of the same kind. And God saw that it was","['sorts', 'of', 'seed', '-', 'bearing']","['plants', ',', 'and', 'trees']","['plants', ',', 'and', 'trees']",0.0,306,314
566,gpt-3.5-turbo,New Living Translation Bible,308,23,"of seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced plants and trees of the same","['of', 'seed', '-', 'bearing', 'plants', ',', 'and', 'trees']","['of', 'every', 'sort', '.']","['with', 'seed', '-', 'bearing']",1.0,307,318
206,gpt-3.5-turbo,English Standard Bible,309,20,"vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed","['vegetation', ',', 'plants', 'yielding', 'seed', 'according', 'to', 'their']","['kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their', 'seed', ',']","['own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their', 'seed']",0.1666666666666666,308,327
581,gpt-3.5-turbo,New Living Translation Bible,309,31,"seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced plants and trees of the same kind. And God saw that it was good","['seed', '-', 'bearing', 'plants', ',', 'and', 'trees', 'with', 'seed', '-', 'bearing', 'fruit', '.', 'Their', 'seeds']","['will', 'produce', 'more', 'of', 'the', 'same', 'kind', 'of', 'plants', 'and', 'trees', '.']","['produced', 'plants', 'and', 'trees', 'of', 'the', 'same', 'kind', '.', 'And', 'God', 'saw']",0.75,308,334
987,gpt-3.5-turbo,King James Bible,310,22,"itself, after his kind: and God saw that it was good.
13And the evening and the morning were","['itself', ',', 'after', 'his', 'kind', ':', 'and', 'God']","['saw', 'that', 'it', 'was', 'good', '.']","['saw', 'that', 'it', 'was', 'good', '.']",0.0,309,322
361,gpt-3.5-turbo,English Standard Bible,311,30,"plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it","['plants', 'yielding', 'seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing']","['fruit', 'with', 'seed', 'in', 'it', 'according', 'to', 'their', 'own', 'kinds', '.']","['fruit', 'in', 'which', 'is', 'their', 'seed', ',', 'each', 'according', 'to', 'its']",0.9090909090909092,310,332
258,gpt-3.5-turbo,English Standard Bible,312,24,"yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind.","['yielding', 'seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and']","['the', 'tree', 'of', 'life', 'with', 'its', 'twelve', 'kinds', 'of', 'fruit', ',', 'yielding', 'its', 'fruit', 'each']","['trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their', 'seed', ',', 'each', 'according', 'to', 'its', 'kind', '.']",0.9333333333333332,311,334
138,gpt-3.5-turbo,Christian Standard Bible ,312,30,"it according to their kinds. And God saw that it was good. 
13 Evening came and then morning: the third day.
14 Then God","['it', 'according', 'to', 'their', 'kinds', '.']","['""', 'And', 'God', 'saw', 'that', 'it', 'was', 'good', ',', 'and', 'he', 'separated', 'the', 'light', 'from', 'the', 'darkness', ',', 'calling', 'the', 'light', ""'"", 'day', ""'""]","['And', 'God', 'saw', 'that', 'it', 'was', 'good', '.', '\n', '13', 'Evening', 'came', 'and', 'then', 'morning', ':', 'the', 'third', 'day', '.', '\n', '14', 'Then', 'God']",0.75,311,340
223,gpt-3.5-turbo,English Standard Bible,313,28,"seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it","['seed', 'according', 'to', 'their', 'own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in', 'which']","['their', 'seed', 'is', 'in', 'itself', ',', 'each', 'according', 'to', 'its', 'kind', '.']","['is', 'their', 'seed', ',', 'each', 'according', 'to', 'its', 'kind', '.', 'And', 'God']",0.5,312,336
424,gpt-3.5-turbo,New Living Translation Bible,313,23,", and trees with seed-bearing fruit. Their seeds produced plants and trees of the same kind. And God saw","[',', 'and', 'trees', 'with', 'seed', '-']","['""', 'bearing', 'fruit', 'with', 'seeds', 'inside', '.', '""']","['bearing', 'fruit', '.', 'Their', 'seeds', 'produced', 'plants', 'and']",0.75,312,325
60,gpt-3.5-turbo,Christian Standard Bible ,315,23,"their kinds. And God saw that it was good. 
13 Evening came and then morning: the third day.","['their', 'kinds', '.', 'And', 'God', 'saw', 'that', 'it', 'was', 'good']","['""', 'And', 'God', 'saw', 'that', 'it', 'was', 'good', '.', '""', '-', 'Christian', 'Standard']","['.', '\n', '13', 'Evening', 'came', 'and', 'then', 'morning', ':', 'the', 'third', 'day', '.']",1.0,314,336
663,gpt-3.5-turbo,Amplified Bible,315,33,"God saw that this was good (pleasing, useful) and He affirmed and sustained it. 
11So God said, “Let the earth sprout [tender] vegetation,","['God', 'saw', 'that', 'this', 'was', 'good', '(', 'pleasing', ',', 'useful']","['and', 'He', 'approved', 'it', ')', '.']","[')', 'and', 'He', 'affirmed', 'and', 'sustained']",0.8333333333333334,314,329
257,gpt-3.5-turbo,English Standard Bible,317,33,"own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it was good. 
13 And there was evening","['own', 'kinds', ',', 'and', 'trees', 'bearing', 'fruit', 'in', 'which', 'is', 'their', 'seed', ',', 'each', 'according']","['to', 'its', 'kind', '.', '""']","['to', 'its', 'kind', '.', 'And']",0.2,316,335
796,gpt-3.5-turbo,King James Bible,317,25,"God saw that it was good.
13And the evening and the morning were the third day.
14And God said, Let","['God', 'saw', 'that', 'it', 'was', 'good', '.', '\n', '13And', 'the']","['evening', 'and', 'the', 'morning', 'were', 'the', 'third', 'day', '.']","['evening', 'and', 'the', 'morning', 'were', 'the', 'third', 'day', '.']",0.0,316,334
28,gpt-3.5-turbo,Christian Standard Bible ,318,27,"And God saw that it was good. 
13 Evening came and then morning: the third day.
14 Then God said, “","['And', 'God', 'saw', 'that', 'it', 'was', 'good', '.', '\n']","['""', 'And', 'God', 'saw', 'everything', 'that', 'he', 'had', 'made', ',', 'and', 'behold', ',', 'it', 'was', 'very', 'good', '.']","['13', 'Evening', 'came', 'and', 'then', 'morning', ':', 'the', 'third', 'day', '.', '\n', '14', 'Then', 'God', 'said', ',', '“']",1.0,317,343
431,gpt-3.5-turbo,New Living Translation Bible,319,32,"bearing fruit. Their seeds produced plants and trees of the same kind. And God saw that it was good.
13 And evening passed and morning came, marking","['bearing', 'fruit', '.', 'Their', 'seeds', 'produced']","['new', 'trees', 'and', 'plants', 'of', 'all', 'kinds', '.']","['plants', 'and', 'trees', 'of', 'the', 'same', 'kind', '.']",0.75,318,331
72,gpt-3.5-turbo,Christian Standard Bible ,319,37,"God saw that it was good. 
13 Evening came and then morning: the third day.
14 Then God said, “Let there be lights in the expanse of the sky to","['God', 'saw', 'that', 'it', 'was', 'good', '.', '\n', '13', 'Evening', 'came', 'and', 'then', 'morning', ':', 'the', 'third', 'day']","['""', 'God', 'saw', 'that', 'it', 'was', 'good', '.', 'And', 'there', 'was', 'evening', 'and', 'there', 'was', 'morning', ',', 'the', 'third']","['.', '\n', '14', 'Then', 'God', 'said', ',', '“', 'Let', 'there', 'be', 'lights', 'in', 'the', 'expanse', 'of', 'the', 'sky', 'to']",0.9473684210526316,318,354
